"Proposta","Processo","Endereço","Distrito","Área Terreno (m2)","Área Excedente (m2)","Valor Contrapartida (R$)"
"2072","2012-0.109.349-6","AL BARROS 00157","SANTA CECILIA","1.201,00","600,50","301.751,25"
"2073","2012-0.306.166-4","R  PELAGIO LOBO 00040","PERDIZES","1.905,43","952,72","492.746,78"
"2074","2012-0.171.399-0","R  DO CHICO NUNES 99999 LT 1 QD 118","CAMPO LIMPO","7.269,30","3.588,85","339.146,33"
"2075","2012-0.215.799-4","R  JORGE TIBIRICA 00079","VILA MARIANA","1.195,75","597,76","230.137,60"
"2076","2012-0.048.758-0","R  PAULA NEY 00150","VILA MARIANA","2.671,55","22,46","22.302,78"
"2076","2012-0.048.758-0","R  PAULA NEY 00150","VILA MARIANA","2.671,55","2.649,08","1.841.375,51"
"2077","2012-0.181.889-0","AV CELSO GARCIA 99999","TATUAPE","7.798,85","4.945,46","1.302.856,71"
"2078","2013-0.007.899-1","R  ELVIRA FERRAZ 00075","ITAIM BIBI","2.321,23","3.481,84","6.267.312,00"
"2079","2011-0.362.675-9","R  AUGUSTA 01065 1067-1071-1073","CONSOLACAO","505,68","1.011,32","1.030.787,91"
"2080","2012-0.235.854-0","R  BAHIA 00677 683","CONSOLACAO","608,88","608,43","1.389.167,38"
"2081","2011-0.135.121-3","R  MARIA HELENA 00093","PIRITUBA","1.102,58","1.511,64","199.361,43"
"2082","2012-0.328.449-3","AV FAGUNDES FILHO 00620","SAUDE","2.099,48","1.049,69","361.513,24"
"2083","2013-0.053.031-2","AV FAGUNDES FILHO 00827 GARAGEM","SAUDE","2.146,00","1.056,69","362.074,83"
"2084","2011-0.257.170-5","AV DAMASCENO VIEIRA 00738 LTS 7 E 8 QD D","JABAQUARA","2.000,00","2.993,56","1.013.020,70"
"2085","2013-0.242.197-9","AV BRIGADEIRO LUIS ANTONIO 02396 E 2396","JARDIM PAULISTA","0,00","1.843,27","0,00"
"2086","2011-0.156.174-9","R  IBITIRAMA 00127","VILA PRUDENTE","2.046,50","2.046,02","416.774,27"
"2087","2013-0.063.112-7","R  BELA CINTRA 00461","CONSOLACAO","1.373,65","1.412,20","1.342.154,88"
"2088","2013-0.094.191-6","AV DO ORATORIO 05198","SAO LUCAS","14.508,18","6.474,62","967.308,23"
"2089","2011-0.338.775-4","AV ENG  LUIZ GOMES CARDIM SANGIRARDI 00026 V MARIANA","VILA MARIANA","1.944,47","1.943,96","1.148.491,57"
"2090","2012-0.073.522-2","R  ROCHA FRAGA 00072 E 76","CANGAIBA","500,00","351,43","46.388,76"
"2091","2013-0.150.275-4","R  AMALIA DE NORONHA 00150 156 162 166 180","PINHEIROS","2.000,00","1.999,72","1.942.927,95"
"2092","2013-0.005.563-0","R ZANZIBAR 00544 A 544 FDS","CASA VERDE","746,25","1.492,50","251.262,38"
"2093","2013-0.160.844-7","R  BELA CINTRA 00561","CONSOLACAO","1.255,40","2.510,70","2.121.039,36"
"2094","2012-0.234.016-0","R  CAJAIBA 00444","PERDIZES","1.644,00","822,00","440.592,00"
"2095","2013-0.109.534-2","AL ITU 01386","JARDIM PAULISTA","1.000,00","500,00","665.200,00"
"2096","2012-0.353.084-2","AV FORTE DO LEME 99999 LT5- QD A","SAO MATEUS","6.235,00","9.339,36","599.586,91"
"2097","2012-0.257.775-6","R  SANTA MARIA 00040","TATUAPE","2.025,86","1.891,95","480.386,92"
"2098","2012-0.199.147-8","R  JORGE VALIM 00188","CASA VERDE","2.954,96","1.477,47","160.010,00"
"2099","2012-0.221.473-4","R DR. ALBERTO SEABRA 01046","ALTO DE PINHEIROS","1.508,23","8,28","10.820,30"
"2099","2012-0.221.473-4","R DR. ALBERTO SEABRA 01046","ALTO DE PINHEIROS","1.508,23","1.499,96","1.960.147,73"
"2100","2011-0.337.645-0","R  ULISSES CRUZ 01319 E 1321","TATUAPE","2.543,95","2.543,95","389.097,15"
"2101","2013-0.129.947-9","R  ANTONIO DE MACEDO SOARES 01102","CAMPO BELO","1.375,92","2.063,82","1.763.946,95"
"2102","2013-0.152.014-0","R  JOAQUIM TAVORA 00805","VILA MARIANA","2.640,19","2.639,84","2.261.814,91"
"2103","2013-0.145.764-3","R MINISTRO FERREIRA ALVES 00785","PERDIZES","1.236,15","617,77","266.876,64"
"2104","2013-0.046.875-7","R  DAS FLECHAS 00285","CIDADE ADEMAR","3.309,35","3.464,56","824.052,53"
"2105","2011-0.200.797-4","R  FILIPE CAMARAO 00583 585 E 589","TATUAPE","1.809,75","2.302,32","614.258,98"
"2106","2012-0.123.705-6","R  DOS CAFEZAIS 00499 345","CIDADE ADEMAR","2.855,00","2.052,55","398.387,64"
"2107","2012-0.076.764-7","R  CATULO DA PAIXAO CEARENSE 99999","SAUDE","1.850,56","919,16","272.163,28"
"2108","2013-0.197.742-6","R  SAO VICENTE DE PAULO 00659","SANTA CECILIA","3.092,75","1.546,37","1.139.829,33"
"2109","2012-0.141.552-3","R  ANDREA DE FIRENZE 00471","CAMPO LIMPO","6.010,04","2.825,80","270.429,06"
"2110","2013-0.200.308-5","R  DR VEIGA FILHO 00070","SANTA CECILIA","1.904,57","952,22","701.881,36"
"2111","2009-0.310.904-9","R  ALFREDO PUJOL 01393","SANTANA","487,00","489,69","118.847,76"
"2112","2012-0.268.621-0","R  CROATA 00952 E 956","LAPA","941,40","34,18","5.993,87"
"2113","2012-0.351.836-2","R  ARTUR SABOIA 00190","VILA MARIANA","1.279,86","1.279,21","911.565,05"
"2114","2012-0.141.058-0","R  FRADIQUE COUTINHO 00226 226A","PINHEIROS","1.560,00","779,98","647.929,39"
"2115","2013-0.152.966-0","R  BRIGADEIRO GALVAO 00726 738 E 752","SANTA CECILIA","1.359,00","679,50","166.749,30"
"2116","2013-0.197.748-5","R  HEITOR DE ANDRADE 00229","ALTO DE PINHEIROS","4.860,10","3.645,04","3.478.242,97"
"2117","2013-0.155.605-6","R  ITARARE 00132 E 132 FDS","BELA VISTA","585,00","91,45","59.876,89"
"2118","2012-0.053.877-0","R DAS CLEMATES 00106","VILA PRUDENTE","424,00","15,46","3.830,99"
"2119","2013-0.320.692-3","R ALMIRANTE CALHEIROS 00398","TATUAPE","0,00","3.009,33","0,00"
"2120","2013-0.136.790-3","R  ELITA 00050 29 E 30 QD X  VL","VILA JACUI","1.000,00","906,08","117.971,62"
"2121","2011-0.111.418-1","R VOLUNTARIOS DA PATRIA 00774","SANTANA","1.643,26","2.664,02","664.140,19"
"2122","2013-0.166.514-9","PC DOM FRANCISCO DE SOUSA 00126","SANTO AMARO","8.664,84","4.324,33","882.163,32"
"2123","2013-0.140.326-8","AL DAS BONINAS 00067","SAUDE","1.629,01","813,04","294.808,30"
"2124","2013-0.083.365-0","R  AIROSA GALVAO 00181","BARRA FUNDA","1.388,91","1.570,73","726.808,19"
"2125","2012-0.215.795-1","R  CORONEL JOAQUIM FERREIRA LOBO 00000","ITAIM BIBI","1.059,06","30,00","73.332,00"
"2125","2012-0.215.795-1","R  CORONEL JOAQUIM FERREIRA LOBO 00000","ITAIM BIBI","1.059,06","1.557,68","2.719.709,28"
"2126","2013-0.206.150-6","R  ARNOLDO BALDOINO WELTER 00173","JABAQUARA","1.856,00","1.815,70","363.321,57"
"2127","2013-0.320.706-7","R  SERRA DA BOCAINA 00573","BELEM","0,00","2.968,90","0,00"
"2128","2013-0.154.378-7","R  JOAO PAIS 99999","SANTO AMARO","1.882,71","1.081,23","300.501,93"
"2129","2011-0.329.513-2","R  AFONSO CELSO 00294","VILA MARIANA","980,00","688,98","557.729,31"
"2130","2010-0.322.246-0","R  COELHO NETO 00174 E 178","VILA PRUDENTE","3.190,04","2.239,31","423.699,85"
"2131","2013-0.102.027-0","R  LUCRECI MACIEL L","JABAQUARA","3.474,07","964,05","165.471,47"
"2132","2012-0.058.639-1","AV COTOVIA 99999 LOTE 13 QD 9","MOEMA","1.500,00","1.500,00","2.991.600,00"
"2133","2012-0.327.956-2","R  CRISTIANO VIANA 00216 ALTOS E BAIXOS","JARDIM PAULISTA","1.641,39","1.641,35","3.123.489,05"
"2134","2012-0.146.977-1","AV ANACE 00059 LT 14/16/19","CAMPO LIMPO","1.412,63","664,94","36.704,69"
"2135","2013-0.166.508-4","R  AUGUSTA 00899 APTO 2 TERR","CONSOLACAO","1.509,00","3.018,00","2.734.308,00"
"2136","2013-0.176.611-5","R  SALTO GRANDE 00222","PERDIZES","2.310,00","2.310,00","1.692.768,00"
"2137","2012-0.353.097-4","R  MINISTRO JESUINO CARDOSO 00148","ITAIM BIBI","1.883,98","2.825,97","6.163.440,57"
"2138","2013-0.043.301-5","R  HENRIQUE DUMONT 00103 E 87","CARRAO","3.678,37","1.759,82","457.201,24"
"2139","2010-0.240.315-0","R  DOS ESTUDANTES 00057 61 E 69  ANTIGO","SE","72,00","144,85","78.798,40"
"2140","2013-0.241.932-0","R  CARDEAL ARCOVERDE 01720","PINHEIROS","1.002,00","501,00","337.899,45"
"2141","2013-0.117.723-3","R PROFESSOR WLADEMIR PEREIRA 99999 LT 10 QD C","RIO PEQUENO","2.953,05","1.736,92","165.379,10"
"2142","2012-0.327.994-5","R  FIANDEIRAS 00916","ITAIM BIBI","1.600,00","1.996,22","5.086.368,56"
"2143","2013-0.103.617-6","AV VILA EMA 04146","SAO LUCAS","3.121,47","3.075,96","408.795,08"
"2144","2010-0.292.799-0","AV AGUA FRIA 99999 JTO N 599","SANTANA","729,28","580,63","184.804,08"
"2145","2012-0.315.293-7","R  ALFREDO PUJOL 99999","SANTANA","1.942,41","3.873,49","1.281.737,84"
"2146","2013-0.206.695-8","R  CORREIA DIAS 00150","VILA MARIANA","1.587,59","1.554,74","1.420.254,99"
"2147","2013-0.164.624-1","R  ALFREDO PUJOL 00437","SANTANA","1.684,06","2.897,65","913.629,05"
"2148","2013-0.153.933-0","AV ITABORAI 00201","SAUDE","2.614,06","1.306,24","390.892,32"
"2149","2012-0.073.846-9","R  VISCONDE DE INHAUMA 00428","SAUDE","1.000,00","500,00","149.450,00"
"2150","2012-0.012.647-1","R  PADRE MACHADO 00793","SAUDE","2.603,29","1.743,21","761.617,17"
"2151","2013-0.154.383-3","R DR. PAULO VIEIRA 00341","PERDIZES","1.999,20","2.998,80","2.358.256,32"
"2152","2011-0.361.101-8","R  BALSA 00543","FREGUESIA DO O","4.571,56","4.571,44","1.105.374,19"
"2153","2013-0.203.299-9","R  CAPITAO PACHECO E CHAVES 01042","VILA PRUDENTE","1.198,55","1.795,81","852.291,43"
"2154","2013-0.006.369-2","R  MOURATO COELHO 01404","PINHEIROS","2.000,00","1.885,00","2.183.395,50"
"2155","2013-0.183.797-7","AV DO GUACA 00126","MANDAQUI","2.545,20","5.057,01","760.953,58"
"2156","2011-0.281.696-1","AV PAULA FERREIRA 02931","PIRITUBA","3.936,34","2.191,36","302.394,53"
"2157","2013-0.183.470-6","R  CORONEL FERREIRA LEAL 00167 189 E 159","BUTANTA","1.264,99","1.369,21","376.746,35"
"2158","2013-0.203.310-3","R  DOUTOR JESUINO MACIEL 99999","CAMPO BELO","897,40","1.346,06","1.007.256,70"
"2159","2012-0.253.193-4","AV PROF FRANCISCO MORATO 03265 3275 3291","VILA SONIA","1.098,00","2.196,00","345.870,00"
"2160","2013-0.105.069-1","AV DA LIBERDADE 00825","LIBERDADE","1.843,32","3.686,64","2.918.712,89"
"2161","2012-0.198.569-9","R  CLODOMIRO DE OLIVEIRA 99999 LT 6  QD 106 VL","CAMPO LIMPO","3.882,90","1.940,80","84.715,92"
"2162","2008-0.377.065-7","R  NOVA DOS PORTUGUESES 01158 1156","SANTANA","1.487,10","2.230,50","784.243,80"
"2163","2013-0.179.349-0","R  CARAMURU 01164","SAUDE","1.174,74","1.172,89","670.775,79"
"2164","2013-0.320.727-0","R  DOUTOR JORGE RAMOS 00095","TATUAPE","0,00","317,35","0,00"
"2165","2012-0.338.070-0","R  MADALENA 99999 LT 23 QD 2","PINHEIROS","356,42","356,42","277.936,32"
"2166","2012-0.191.792-8","PC COMENDADOR MANUEL DE MELO PIMENTA 99999 LT 3 QD 4","ALTO DE PINHEIROS","431,50","430,70","614.522,76"
"2167","2012-0.022.678-6","R  JOAO DE LAET 99999","MANDAQUI","1.109,00","1.626,84","484.310,27"
"2168","2011-0.153.920-4","R  OLIVIA GUEDES PENTEADO 01174 A","SOCORRO","430,00","54,81","10.589,29"
"2169","2013-0.167.963-8","R  SARGENTO NOEL DE CAMARGO 00328","SAO MATEUS","1.012,50","728,41","115.380,14"
"2170","2012-0.268.577-0","AV VEREADOR JOSE DINIZ 99999","CAMPO BELO","2.000,00","998,76","403.748,73"
"2171","2013-0.156.948-4","R  PAULISTANIA 00246","PINHEIROS","540,00","539,68","525.054,67"
"2172","2012-0.163.824-7","AV DOUTOR LINO DE MORAES LEME 00075","CAMPO BELO","660,00","160,46","57.823,37"
"2173","2012-0.136.422-8","R  ANTONIO DE BARROS 02319 2321 2321 FD","CARRAO","1.420,00","559,44","72.134,19"
"2174","2006-0.174.814-6","AV ALBERT EINSTEIN 00627","MORUMBI","41.423,78","18.611,58","5.050.252,23"
"2174","2006-0.174.814-6","AV ALBERT EINSTEIN 00627","MORUMBI","41.423,78","24.188,73","7.007.716,97"
"2175","2007-0.170.450-7","R  MAESTRO CARDIM 01137 CJ 11 E 4 VGS","BELA VISTA","1.358,85","853,38","782.250,78"
"2176","2013-0.141.825-7","R  ANHANGUERA 00374  E  416","SANTA CECILIA","4.096,15","7.433,68","1.389.354,79"
"2177","2013-0.130.159-7","R  ALVES GUIMARAES 01120","PINHEIROS","3.979,17","1.997,06","2.385.088,76"
"2177","2013-0.130.159-7","R  ALVES GUIMARAES 01120","PINHEIROS","3.979,17","1.973,34","1.833.035,53"
"2178","2013-0.274.556-1","AV DO CAFE 00788 E 798","JABAQUARA","2.020,09","1.005,27","213.217,77"
"2179","2012-0.265.411-4","R  MARTINICO PRADO 99999","CONSOLACAO","1.072,00","0,01","11,76"
"2180","2013-0.007.878-9","R  CARNEIRO DA CUNHA 99999","SAUDE","963,04","478,84","157.370,77"
"2181","2012-0.266.597-3","R  DR VIRGILIO DE CARVALHO PINTO 00625","PINHEIROS","2.196,60","1.098,29","771.109,41"
"2182","2013-0.201.893-7","ES DE ITAPECERICA 01528","JARDIM SAO LUIS","6.400,79","525,23","28.200,12"
"2183","2012-0.344.938-7","R  JOSE GONCALVES GOMIDE 00020","VILA GUILHERME","2.000,00","1.885,65","371.288,26"
"2184","2013-0.260.316-3","R AIMBERE 00608","PERDIZES","831,63","415,77","231.334,43"
"2185","2014-0.005.761-9","R  APENINOS 00534","LIBERDADE","0,00","2.423,73","0,00"
"2186","2012-0.027.083-1","R  PAULINO GUIMARAES 00224 230","BOM RETIRO","1.332,00","1.547,42","0,00"
"2187","2013-0.146.165-9","R  AUGUSTA 00822","CONSOLACAO","969,00","1.930,22","1.818.267,24"
"2188","2013-0.079.553-7","R  SERRA DA BOCAINA 00562","BELEM","1.216,87","2.433,74","517.899,87"
"2189","2013-0.250.334-7","R  CAUIPE 99999 LT 17 QD 129 VL","CAMPO LIMPO","2.625,50","1.306,40","116.792,16"
"2190","2011-0.209.076-6","R  DOUTOR LUIZ MIGLIANO 00190","VILA SONIA","16.910,11","1.652,16","287.475,84"
"2191","2011-0.318.855-7","R  DOMINGOS DE MORAIS 02793 CS 2","SAUDE","2.827,80","2.827,76","1.908.172,45"
"2192","2012-0.346.358-4","R  AZEVEDO SOARES 00021","TATUAPE","1.484,82","2.227,23","1.958.180,62"
"2193","2013-0.250.323-1","R  DO CHICO NUNES 99999 LT 1 QD 130 VL A","CAMPO LIMPO","3.716,50","1.679,52","167.280,19"
"2194","2013-0.154.188-1","AV MAZZEI 00554 E R ENOTRIA 252","TUCURUVI","2.808,94","2.154,89","497.288,28"
"2195","2013-0.250.330-4","R  CELSO RAMOS 188 LT 4 QD 129","CAMPO LIMPO","3.329,50","1.377,91","122.771,78"
"2196","2011-0.362.597-3","R  DRA  NEYDE APPARECIDA SOLLITTO 99999","VILA MARIANA","1.000,15","1.000,09","1.267.114,03"
"2197","2013-0.250.343-6","R  DO CHICO NUNES 00041 LT 19 QD 130 VL","CAMPO LIMPO","4.275,80","1.990,68","198.271,73"
"2198","2013-0.202.845-2","R  MOURATO COELHO 99999","PINHEIROS","1.592,50","1.591,98","1.507.764,26"
"2199","2011-0.271.873-0","R  CONEGO VICENTE MIGUEL MARINO 00515","SANTA CECILIA","4.930,15","12.108,18","3.024.017,96"
"2200","2013-0.147.171-9","R  DR VIRGILIO DE CARVALHO PINTO 00280","PINHEIROS","621,00","112,60","74.094,74"
"2200","2013-0.147.171-9","R  DR VIRGILIO DE CARVALHO PINTO 00280","PINHEIROS","621,00","1.126,05","411.655,73"
"2201","2013-0.026.449-3","R  BORGES LAGOA 01050","VILA MARIANA","910,20","910,17","650.771,55"
"2202","2013-0.141.219-4","R  GIRASSOL 00052","PINHEIROS","1.050,00","1.049,99","1.006.205,42"
"2203","2009-0.061.362-5","R  DUARTE DE AZEVEDO 00439","SANTANA","1.063,31","1.076,31","514.045,66"
"2204","2012-0.184.130-1","R  FRADIQUE COUTINHO 01134","PINHEIROS","2.141,00","186,70","230.033,07"
"2205","2013-0.141.150-3","R  CAPITAL FEDERAL 00269","PERDIZES","1.500,00","1.496,77","1.136.347,78"
"2206","2008-0.183.641-3","R  TAIUVINHA 00663 667 673","VILA JACUI","2.920,00","528,78","15.918,92"
"2207","2013-0.250.339-8","R  CHAPADA DE MINAS 99999 LT 11 QD 129","CAMPO LIMPO","4.300,40","2.096,37","186.786,57"
"2208","2013-0.063.115-1","R  MARIA 00110","TUCURUVI","900,00","1.045,04","134.183,14"
"2209","2013-0.281.797-0","R  GIRASSOL 00092","PINHEIROS","1.000,00","949,24","1.169.558,60"
"2210","2013-0.103.672-9","R  JACARE COPAIBA 99999 LTS 45 A 50","FREGUESIA DO O","3.463,47","1.549,19","189.816,05"
"2211","2010-0.284.097-6","R  CONSELHEIRO DANTAS 00390","PARI","4.770,55","6.880,35","3.533.747,76"
"2212","2004-0.114.033-0","AL SANTOS 00798 E 800","JARDIM PAULISTA","734,28","367,10","591.581,65"
"2213","2013-0.010.470-4","R  CACAPAVA 00054","JARDIM PAULISTA","312,00","523,90","714.599,60"
"2214","2012-0.194.848-3","R  LUIS CARNEIRO 00384","PIRITUBA","539,49","269,17","30.281,63"
"2215","2013-0.183.330-0","AV JABAQUARA 02781","SAUDE","1.138,24","1.136,33","639.526,52"
"2216","2013-0.265.536-8","R  JOAO RAMALHO 01512","PERDIZES","880,00","315,09","235.261,32"
"2217","2013-0.310.320-2","R  TURI 00185 187","PINHEIROS","1.176,83","1.176,80","1.000.044,64"
"2218","2013-0.203.319-7","R  MELO PEIXOTO 00397","TATUAPE","2.373,22","2.394,64","597.582,41"
"2219","2014-0.099.409-4","R  DOUTOR JORGE RAMOS 00101","TATUAPE","0,00","446,00","0,00"
"2220","2013-0.378.881-7","R  JOSE GONCALVES GOMIDE 00612","VILA GUILHERME","1.000,00","1.354,40","219.819,12"
"2221","2012-0.252.125-4","R  GENERAL CHAGAS SANTOS 00253","SAUDE","1.000,00","494,88","158.312,11"
"2222","2013-0.176.264-0","R  DA CONSOLACAO 01611","CONSOLACAO","1.862,24","3.700,65","3.870.879,90"
"2223","2011-0.220.363-3","AV LEONARDO DA VINCI 00608","JABAQUARA","1.675,00","2.405,24","801.594,33"
"2224","2011-0.196.141-0","R  VIRI 00454 486","SANTANA","3.000,00","3.541,98","924.116,75"
"2225","2013-0.142.771-0","R  SAO FELIPPE 00183","TATUAPE","3.988,85","3.705,96","918.181,24"
"2226","2014-0.049.391-5","R  RENASCENCA 00113","CAMPO BELO","917,00","1.833,80","564.168,57"
"2227","2013-0.344.338-0","R  DOS BOMBEIROS 00040","MOEMA","1.976,71","1.976,71","3.037.807,93"
"2228","2013-0.308.864-5","R JOSE TAVARES SIQUEIRA 00080","TATUAPE","4.275,86","8.458,16","2.104.813,12"
"2229","2013-0.203.078-3","AV POMPEIA 00678","PERDIZES","1.078,50","502,26","382.324,33"
"2230","2013-0.254.722-0","AL DOS NHAMBIQUARAS 01259","MOEMA","1.280,00","1.280,00","1.033.216,00"
"2231","2013-0.097.580-2","AL SANTOS 01826","JARDIM PAULISTA","1.200,00","1.200,00","2.354.880,00"
"2232","2013-0.169.882-9","R  DOUTOR AUGUSTO DE MIRANDA 00802","PERDIZES","1.125,00","562,50","269.775,00"
"2233","2011-0.093.802-4","R  AFONSO DE FREITAS 00152 152-B E 156","VILA MARIANA","1.567,93","4.023,10","5.489.519,95"
"2234","2013-0.250.377-0","R  MARIA DAFFRE 00143","VILA PRUDENTE","3.313,69","1.654,83","209.501,48"
"2235","2013-0.043.772-0","AV DO CURSINO 00362","CURSINO","1.250,00","1.374,76","221.432,59"
"2236","2013-0.183.395-5","R  VERGUEIRO 04527","VILA MARIANA","2.878,00","725,34","913.203,06"
"2237","2013-0.353.387-8","R  CAUIMA 00040 LT10 D119 VL AND","CAMPO LIMPO","4.580,10","1.800,01","156.060,87"
"2238","2013-0.077.588-9","AV REBOUCAS 01145 APTO 1","JARDIM PAULISTA","450,56","675,81","1.708.312,52"
"2239","2013-0.172.554-0","AV SANTO AMARO 99999","MOEMA","3.324,94","3.324,94","2.324.133,06"
"2240","2011-0.353.432-3","R  SARGENTO OSVALDO 00129","TATUAPE","1.695,50","3.389,59","841.126,76"
"2241","2013-0.169.199-9","R  CURITIBA 00381","MOEMA","1.997,64","1.997,64","4.094.362,94"
"2242","2013-0.377.033-0","R  PINTASSILGO 00437","MOEMA","498,85","166,81","249.948,10"
"2243","2013-0.270.235-8","R  DIAS DE TOLEDO 00215","SAUDE","875,00","866,76","482.351,94"
"2244","2013-0.291.188-7","AV BRIGADEIRO LUIS ANTONIO 03058 JD PAULISTA","JARDIM PAULISTA","873,76","436,81","582.529,82"
"2245","2013-0.314.974-1","PC ALLER 99999 LT 2D","SANTO AMARO","6.792,10","10.187,60","3.948.713,76"
"2246","2013-0.204.698-1","AV ENG. HEITOR ANTONIO EIRAS GARCIA 02270","RIO PEQUENO","1.970,00","313,07","49.242,78"
"2247","2012-0.358.552-3","R  HIRAN PINTO DA SILVA 99999 A","BRASILANDIA","2.236,63","339,38","34.900,65"
"2248","2011-0.122.159-0","R  VERGUEIRO 05002","VILA MARIANA","8.579,23","8.579,23","9.754.584,51"
"2249","2013-0.254.200-8","R  CHIPRE 00050","ITAIM BIBI","1.200,00","1.799,89","3.302.798,15"
"2250","2012-0.076.431-1","R  TIJUCO PRETO 01572 A","TATUAPE","1.671,10","1.530,31","1.596.419,39"
"2250","2012-0.076.431-1","R  TIJUCO PRETO 01572 A","TATUAPE","1.671,10","975,73","0,00"
"2251","2013-0.201.684-5","AV ENG. HEITOR ANTONIO EIRAS GARCIA 00509","BUTANTA","9.657,61","1.864,15","784.247,91"
"2251","2013-0.201.684-5","AV ENG. HEITOR ANTONIO EIRAS GARCIA 00509","BUTANTA","9.657,61","4.206,02","884.736,31"
"2252","2013-0.155.357-0","R  SAO BENEDITO 02575","SANTO AMARO","1.500,00","1.194,60","468.273,64"
"2253","2013-0.269.576-9","R  JOSE ANTONIO FONTES 00361","SAPOPEMBA","3.750,00","1.541,03","139.136,52"
"2254","2012-0.076.781-7","R  DO PARAISO 00595","LIBERDADE","1.910,00","2.864,92","2.368.429,36"
"2255","2013-0.322.446-8","R  PEDRO TAQUES 00088","CONSOLACAO","616,00","1.231,11","957.311,14"
"2256","2011-0.196.904-7","R  ALVARO RODRIGUES 00277","ITAIM BIBI","1.422,50","692,98","435.537,93"
"2257","2013-0.204.123-8","R  ANHANGUERA 00436 452","SANTA CECILIA","4.055,00","8.107,93","1.515.372,12"
"2258","2014-0.142.582-4","AL SANTOS 00798 E 800","JARDIM PAULISTA","0,00","706,00","0,00"
"2259","2013-0.209.025-5","R  DONA GABRIELA 00185","TUCURUVI","1.845,00","3.687,70","440.311,38"
"2260","2013-0.183.846-9","R  BELA CINTRA 01425","JARDIM PAULISTA","993,29","6,34","12.124,30"
"2260","2013-0.183.846-9","R  BELA CINTRA 01425","JARDIM PAULISTA","993,29","490,28","681.881,42"
"2261","2012-0.338.013-1","R  MONTE BELO 00317","TUCURUVI","1.007,81","1.007,23","368.041,84"
"2262","2008-0.057.180-7","AV CELSO GARCIA 99999","TATUAPE","2.517,13","5.033,23","1.301.844,94"
"2263","2012-0.357.860-8","R MAJOR DANTAS CORTEZ 00842","TUCURUVI","1.000,00","989,92","237.580,80"
"2264","2009-0.191.149-2","AV BRIGADEIRO LUIS ANTONIO 2396","JARDIM PAULISTA","1.843,27","1.829,13","1.095.008,68"
"2265","2013-0.312.326-2","R PEREIRA ESTEFNO 00263 265","SAUDE","1.315,20","657,20","207.478,04"
"2266","2013-0.368.058-7","R  MAJUBIM 00087","ALTO DE PINHEIROS","900,00","70,23","39.546,51"
"2267","2013-0.053.021-5","R  DOMINGOS JOSE SAPIENZA 00208","CACHOEIRINHA","1.000,00","665,60","122.199,17"
"2268","2013-0.360.904-1","AV DOUTOR ALTINO ARANTES 00706","SAUDE","1.987,00","982,08","513.529,63"
"2269","2012-0.154.161-8","R  JORGE DUPRAT FIGUEIREDO 00811","JABAQUARA","1.603,04","2.373,82","242.129,64"
"2270","2011-0.002.184-8","R  LEONARDO VILAS BOAS 00443","SAO LUCAS","255,00","38,25","5.661,00"
"2271","2013-0.260.526-3","AV ROUXINOL 00304","MOEMA","1.200,00","570,58","636.767,28"
"2272","2012-0.336.174-9","R  PEDRO BELLEGARDE 00092","TATUAPE","1.405,50","46,19","0,00"
"2272","2012-0.336.174-9","R  PEDRO BELLEGARDE 00092","TATUAPE","1.405,50","2.142,68","389.217,82"
"2273","2010-0.313.588-5","R  VISCONDE DE INHAUMA 99999","SAUDE","2.000,00","999,68","315.598,98"
"2274","2012-0.348.078-0","R  OSCAR FREIRE 02609 2611 E 2613","PINHEIROS","348,40","242,71","306.469,92"
"2275","2012-0.247.978-9","R  SERRA DE BRAGANCA 99999","TATUAPE","2.565,00","2.563,99","1.684.028,63"
"2276","2013-0.373.772-4","R  DA GLORIA 00676","LIBERDADE","1.432,98","2.730,59","978.643,46"
"2277","2014-0.036.270-5","R  DA CONSOLACAO 01559","CONSOLACAO","2.465,16","4.930,32","5.157.114,72"
"2278","2013-0.179.457-7","R  BORGES LAGOA 00913","VILA MARIANA","900,00","900,00","667.800,00"
"2279","2014-0.068.751-5","R  CARDEAL ARCOVERDE 01522","PINHEIROS","3.730,00","1.864,60","1.239.959,00"
"2280","2013-0.199.909-8","R CEL. VIRGILIO DOS SANTOS 00685","JAGUARA","2.680,93","1.340,01","142.711,07"
"2281","2011-0.364.354-8","R MINISTRO FERREIRA ALVES 99999","PERDIZES","1.306,25","652,33","446.519,89"
"2282","2013-0.302.696-8","R  DAS FLECHAS 00866","CIDADE ADEMAR","1.332,75","412,05","126.705,38"
"2283","2013-0.319.872-6","R  TIE 00153","AGUA RASA","1.224,74","1.223,11","257.709,28"
"2284","2014-0.082.935-2","R HELVETIA 00950","SANTA CECILIA","2.731,23","60,00","28.968,00"
"2284","2014-0.082.935-2","R HELVETIA 00950","SANTA CECILIA","2.731,23","1.305,61","472.761,38"
"2285","2013-0.372.785-0","R  PAMPLONA 01418 E 1428","JARDIM PAULISTA","1.340,00","670,00","1.346.867,50"
"2286","2013-0.313.329-2","R  RUBENS DE SOUZA ARAUJO 00199","SAO DOMINGOS","1.302,41","914,05","130.252,13"
"2287","2011-0.365.888-0","R  PADRE CHICO 00168","PERDIZES","909,00","130,28","172.099,88"
"2288","2014-0.121.521-8","R  ANHANGUERA 00711 E 713","SANTA CECILIA","1.250,00","2.499,32","450.627,40"
